Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"41095, Warsaw, KY",41095,4970,18,15,77,65,4600,4458,355,4615,4,2,1,161,42,4458,49708.9834,42065,18733,4,4,1758,82,32,0,0,1,44,5
"41097, Williamstown, KY",41097,6554,31,31,67,65,6324,6209,172,6382,3,4,1,112,5,6209,67222.2614,48787,24312,7,6,2261,32,9,1,1,1,19,1
"41099, Newport, KY",41099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45001, Addyston, OH",45001,796,2,2,16,17,760,753,8,788,0,0,0,6,1,753,96646.55172,74490,38731,0,0,306,3,0,0,0,0,3,0
"45002, Cleves, OH",45002,13762,71,74,94,99,13308,13178,210,13552,1,4,1,108,36,13178,82853.38455,68837,30029,18,17,4796,46,10,1,1,2,27,5
"45003, College Corner, OH",45003,1371,3,3,22,20,1314,1313,6,1365,0,0,0,5,0,1313,97902.47368,69811,39354,1,1,538,1,0,0,0,0,1,0
"45005, Franklin, OH",45005,31992,229,231,627,625,30553,30202,494,31498,8,10,0,340,38,30202,68012.57427,58919,26335,59,59,11859,82,18,2,0,4,53,5
"45011, Hamilton, OH",45011,71156,2037,1978,7969,7737,56059,54329,5371,65785,143,92,36,1862,421,54329,84362.07302,68983,28974,543,537,19734,1127,513,27,6,22,507,52
"45013, Hamilton, OH",45013,52286,296,291,1516,1485,48824,48438,863,51423,8,12,1,432,131,48438,70116.56018,58318,27627,70,70,19401,191,51,1,0,3,122,14
"45014, Fairfield, OH",45014,44707,1165,1153,6111,5930,34638,33858,2559,42148,134,32,3,846,189,33858,76912.8718,62780,31582,389,387,14578,663,304,32,2,6,270,49
"45015, Hamilton, OH",45015,12146,96,93,969,954,10232,10053,715,11431,20,1,3,173,68,10053,50742.58294,43136,20475,28,27,4256,161,96,3,1,0,50,11
"45030, Harrison, OH",45030,16914,90,91,46,46,16533,16384,193,16721,2,2,2,137,8,16384,82507.18694,70073,31853,23,22,6431,44,6,0,1,1,35,1
"45032, Harveysburg, OH",45032,501,2,2,7,6,482,477,8,493,0,0,0,6,0,477,94211.01639,80921,34412,1,1,177,1,0,0,0,0,0,0
"45033, Hooven, OH",45033,293,0,0,20,20,259,254,12,281,0,3,0,5,1,254,56273.63636,45000,21127,0,0,97,3,1,0,0,0,1,1
"45034, Kings Mills, OH",45034,1008,20,19,19,19,951,929,27,981,0,0,0,23,1,929,112632.7407,100472,39220,8,8,331,5,1,0,0,0,4,0
