Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"30284, Sunny Side, GA",30284,1228,7,6,119,119,1044,954,130,1098,3,4,1,87,5,954,68764.00937,49262,24038,2,2,372,33,7,1,0,0,24,1
"30285, The Rock, GA",30285,775,2,2,85,85,665,661,16,759,0,2,0,4,3,661,59533.62369,49455,22387,0,0,252,3,1,0,0,0,1,1
"30288, Conley, GA",30288,8088,146,137,6525,6470,795,503,868,7220,50,18,9,297,55,503,63513.92341,54640,21769,39,35,304,198,96,16,4,3,68,11
"30289, Turin, GA",30289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30290, Tyrone, GA",30290,8639,359,361,2217,2220,5641,5301,496,8143,26,4,3,303,28,5301,120480.3104,100212,41643,111,110,2149,116,30,3,1,1,75,6
"30291, Union City, GA",30291,23288,241,205,19543,19210,2219,1575,1834,21454,197,22,35,784,172,1575,56398.19716,47729,21363,75,71,1071,399,153,42,4,3,162,35
"30292, Williamson, GA",30292,5475,22,22,615,620,4720,4675,65,5410,2,2,0,37,6,4675,75198.16832,65118,26652,5,5,1667,19,4,1,0,0,13,1
"30293, Woodbury, GA",30293,3300,10,10,1462,1482,1776,1733,47,3253,2,1,0,21,5,1733,49008.3321,38264,20079,2,2,791,10,5,1,0,0,4,0
"30294, Ellenwood, GA",30294,39843,786,764,33140,32924,3929,3085,2493,37350,269,62,23,789,194,3085,81770.12987,69251,27814,206,198,1569,603,269,86,8,14,191,35
"30295, Zebulon, GA",30295,4696,26,26,576,571,4011,3989,43,4653,1,1,0,26,5,3989,73021.54545,62045,26428,5,5,1410,15,3,0,0,0,10,2
"30296, Riverdale, GA",30296,24803,677,628,19882,19610,2278,1397,2743,22060,246,48,48,908,217,1397,70831.88173,62973,25466,188,175,998,674,275,92,13,10,244,40
"30297, Forest Park, GA",30297,26530,2086,1942,10947,10438,8356,3864,9921,16609,330,132,111,4709,591,3864,43483.27576,34985,14444,562,523,2992,2369,906,139,39,25,1119,141
"30303, Atlanta, GA",30303,1458,64,63,893,872,434,387,94,1364,16,0,1,52,10,387,67952.07807,55952,31728,20,20,202,24,4,5,0,0,13,2
"30305, Atlanta, GA",30305,23135,798,804,2128,2117,19122,18266,1470,21665,54,14,11,786,83,18266,131474.0374,89543,70677,386,383,10307,527,147,24,3,4,325,24
"30306, Atlanta, GA",30306,23903,857,899,1630,1670,20496,19566,1173,22730,48,16,5,763,79,19566,138354.4995,94877,71601,427,423,10700,406,74,19,4,6,276,27
"30307, Atlanta, GA",30307,19473,911,937,2924,2982,14884,14291,676,18797,34,6,3,454,81,14291,121317.3308,90194,56371,314,313,7125,269,37,10,1,4,189,28
"30308, Atlanta, GA",30308,17286,1076,1079,6644,6576,8778,8241,821,16465,109,4,4,486,60,8241,79484.40351,59122,48781,646,644,5710,403,66,46,2,2,256,31
"30309, Atlanta, GA",30309,22167,1581,1603,4180,4156,15482,14681,1089,21078,101,11,8,682,87,14681,118576.197,78256,74231,969,966,9637,513,95,49,3,2,324,40
"30310, Atlanta, GA",30310,30739,208,198,28269,28027,1452,1354,593,30146,233,17,10,107,85,1354,43789.50017,30591,16918,68,63,794,174,44,67,5,3,33,22
"30311, Atlanta, GA",30311,36267,66,57,34348,33983,889,579,1195,35072,333,15,9,342,156,579,52024.23361,35332,20669,23,19,386,291,87,82,4,1,82,35
"30312, Atlanta, GA",30312,21483,487,478,12493,12304,7506,7046,1095,20388,226,21,10,421,128,7046,68085.43106,49672,34723,217,215,4155,379,84,68,2,5,175,45
"30313, Atlanta, GA",30313,7616,663,658,4415,4355,2252,2059,356,7260,60,1,5,193,32,2059,65462.90924,41154,25104,80,80,549,73,16,22,0,0,29,6
"30314, Atlanta, GA",30314,17525,39,37,16747,16573,369,310,329,17196,169,3,2,64,41,310,42474.73705,29749,17255,13,12,153,87,13,48,1,2,15,8
"30315, Atlanta, GA",30315,36891,305,265,30260,29525,4463,3567,2955,33936,582,37,39,1052,179,3567,47313.36708,29209,17612,110,103,1568,577,269,90,7,3,168,40
