Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014","# Asian Non-Hispanic Head of Households, 2014"
"75161, Terrell, TX",75161,"6,074",23,24,429,469,"4,959","4,414",964,"5,110",5,25,1,479,50,"70,916.43 ","60,657.00 ","25,818.00 ",6,"1,865",200,86,1,0,4,101,8,6
"75164, Josephine, TX",75164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"75165, Waxahachie, TX",75165,"39,056",176,154,"4,473","4,611","30,785","24,401","9,089","29,967",137,77,31,"6,053",384,"81,366.97 ","68,221.00 ","29,217.00 ",48,"11,281","2,279",614,19,3,22,"1,538",83,45
"75166, Lavon, TX",75166,"3,570",54,53,175,188,"3,101","2,745",495,"3,075",1,4,5,331,21,"109,534.60 ","85,520.00 ","36,891.00 ",12,"1,077",126,36,1,2,1,81,4,10
"75167, Waxahachie, TX",75167,"10,197",57,60,493,560,"8,823","7,325","2,053","8,144",20,14,6,"1,371",89,"102,086.47 ","83,893.00 ","32,526.00 ",8,"2,857",473,127,2,0,4,318,22,8
"75172, Wilmer, TX",75172,"3,817",19,17,768,690,"1,929",851,"2,174","1,643",22,16,1,"1,142",128,"53,061.93 ","43,349.00 ","17,876.00 ",8,662,546,227,5,0,2,288,24,8
"75173, Nevada, TX",75173,"4,553",41,43,92,101,"4,063","3,616",654,"3,899",2,13,3,417,24,"88,589.08 ","78,295.00 ","30,081.00 ",13,"1,404",140,50,2,1,5,77,4,12
"75180, Balch Springs, TX",75180,"24,364",223,199,"6,084","5,636","12,367","6,069","11,920","12,444",165,230,14,"6,619",548,"52,508.04 ","43,527.00 ","16,044.00 ",63,"3,894","2,797","1,067",26,1,48,"1,539",116,62
"75181, Mesquite, TX",75181,"27,420","1,441","1,448","8,814","8,859","13,922","9,070","7,306","20,114",123,99,20,"4,643",359,"97,262.76 ","89,131.00 ","29,496.00 ",397,"4,466","1,724",491,18,4,20,"1,120",71,393
"75182, Sunnyvale, TX",75182,"5,418",821,887,591,620,"3,661","3,010",752,"4,666",18,10,2,525,43,"111,880.21 ","93,562.00 ","38,507.00 ",212,"1,351",193,46,4,0,2,135,6,212
"75189, Royse City, TX",75189,"24,804",230,274,"1,148","1,333","20,938","17,493","5,007","19,797",48,60,4,"3,041",239,"87,020.10 ","79,981.00 ","28,193.00 ",59,"6,979","1,186",374,22,4,23,704,48,55
"75201, Dallas, TX",75201,"8,409",385,419,"1,141","1,236","6,415","5,561",937,"7,472",20,15,5,676,44,"106,797.86 ","84,647.00 ","71,758.00 ",261,"4,388",555,102,9,1,5,417,21,260
"75202, Dallas, TX",75202,"2,152",72,77,360,379,"1,515","1,172",455,"1,697",5,3,0,310,25,"91,762.42 ","81,786.00 ","57,497.00 ",44,998,197,42,1,0,0,144,10,44
"75203, Dallas, TX",75203,"16,874",58,40,"5,887","5,278","5,264",887,"10,476","6,398",288,129,16,"4,712",497,"46,412.46 ","34,282.00 ","16,183.00 ",30,"1,626","2,873","1,351",71,7,34,"1,250",160,23
"75204, Dallas, TX",75204,"26,551","1,648","1,642","3,939","3,853","17,055","12,631","7,810","18,741",120,66,21,"4,369",388,"90,752.54 ","67,330.00 ","50,595.00 ",871,"10,471","2,797",910,33,12,25,"1,686",131,859
"75205, Dallas, TX",75205,"22,699",836,"1,014",342,400,"20,713","19,366","1,421","21,278",14,15,4,"1,004",88,"202,289.54 ","121,305.00 ","81,517.00 ",283,"8,443",487,114,3,3,4,343,20,280
"75206, Dallas, TX",75206,"38,622","2,313","2,588","2,477","2,692","28,866","21,309","10,939","27,683",106,100,33,"6,798",436,"82,896.09 ","60,868.00 ","45,831.00 ","1,266","16,604","4,221","1,264",38,13,40,"2,700",166,"1,253"
"75207, Dallas, TX",75207,"8,518",62,62,"4,134","4,138","4,231","2,641","1,641","6,877",14,0,0,"1,572",6,"79,932.33 ","78,333.00 ","14,494.00 ",23,339,70,20,1,0,0,49,0,23
"75208, Dallas, TX",75208,"29,634",202,131,"1,423",895,"19,740","5,874","22,234","7,400",125,190,12,"14,555",839,"73,059.73 ","46,766.00 ","24,029.00 ",62,"6,687","5,643","1,636",27,2,45,"3,697",236,60
"75209, Dallas, TX",75209,"15,949",441,437,"2,727","2,706","10,809","8,402","4,136","11,813",34,40,6,"2,391",183,"139,064.09 ","83,235.00 ","62,665.00 ",205,"5,213","1,217",384,9,2,7,752,63,203
"75210, Dallas, TX",75210,"8,009",24,14,"5,788","5,590",846,94,"2,276","5,733",140,39,10,810,121,"26,352.64 ","16,881.00 ","9,532.00 ",6,214,557,298,40,2,8,183,26,4
"75211, Dallas, TX",75211,"75,216",775,395,"5,614","3,310","44,044","4,989","65,473","9,743",489,519,164,"41,662","2,354","49,232.86 ","39,623.00 ","13,807.00 ",210,"12,206","15,920","4,780",61,22,107,"10,331",619,188
"75212, Dallas, TX",75212,"26,232",326,254,"8,237","7,177","10,086",448,"18,171","8,061",661,147,58,"10,061",931,"38,955.73 ","29,669.00 ","10,743.00 ",104,"2,414","4,328","1,515",142,15,31,"2,393",232,89
"75214, Dallas, TX",75214,"34,963",720,807,"1,858","2,058","28,327","23,185","8,040","26,923",69,86,18,"4,654",385,"113,577.14 ","74,359.00 ","52,796.00 ",306,"13,613","2,591",870,22,8,21,"1,560",110,298
"75215, Dallas, TX",75215,"14,834",53,47,"11,911","11,733","1,738",927,"1,931","12,903",136,39,6,854,131,"48,070.49 ","29,828.00 ","20,719.00 ",25,763,502,207,30,2,7,225,31,23
"75216, Dallas, TX",75216,"49,880",92,30,"33,698","32,158","7,118",964,"16,500","33,380",982,147,61,"6,717",820,"39,590.51 ","28,218.00 ","13,899.00 ",21,"1,574","3,492","1,616",210,11,37,"1,426",192,10
"75217, Dallas, TX",75217,"84,522",229,125,"24,844","21,193","32,610","6,124","56,169","28,353",682,571,86,"29,600","2,310","49,892.29 ","38,631.00 ","13,396.00 ",51,"8,301","12,103","4,987",127,11,117,"6,330",531,40
"75218, Dallas, TX",75218,"24,778",428,439,"2,272","2,468","18,950","15,090","6,198","18,580",72,62,37,"3,481",278,"93,187.11 ","69,200.00 ","42,843.00 ",167,"9,184","1,895",661,20,8,18,"1,103",85,159
