Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"02351, Abington, MA",02351,"16,305",312,308,482,448,"14,852","14,656",348,"15,957",30,8,2,206,31,"14,656","96,773.46 ","84,691.00 ","36,837.00 ",95,95,"5,729",91,25,8,0,1,53,4
"02359, Pembroke, MA",02359,"18,249",204,197,174,165,"17,495","17,346",224,"18,025",6,5,3,163,13,"17,346","111,147.13 ","96,163.00 ","39,535.00 ",53,53,"6,275",49,10,1,0,1,35,2
"02360, Plymouth, MA",02360,"58,220",623,614,"1,437","1,373","53,991","53,204","1,149","57,071",48,19,2,830,88,"53,204","101,899.87 ","85,865.00 ","39,036.00 ",165,164,"20,823",235,49,11,1,5,154,15
"02364, Kingston, MA",02364,"13,007",137,133,174,164,"12,403","12,298",158,"12,849",5,2,0,123,15,"12,298","115,437.03 ","92,016.00 ","42,823.00 ",37,37,"4,641",32,5,2,0,0,22,3
"02366, South Carver, MA",02366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"02367, Plympton, MA",02367,"2,909",26,27,31,31,"2,798","2,768",40,"2,869",1,6,0,27,3,"2,768","119,277.91 ","108,170.00 ","42,777.00 ",3,3,"1,018",6,0,0,0,2,4,0
"02368, Randolph, MA",02368,"32,971","4,223","4,186","13,528","13,001","12,708","11,963","2,216","30,755",442,42,10,868,175,"11,963","95,112.58 ","73,136.00 ","34,592.00 ","1,170","1,166","5,558",655,202,107,4,9,287,46
"02370, Rockland, MA",02370,"18,373",236,237,666,644,"16,539","16,267",414,"17,959",26,6,0,263,44,"16,267","89,552.16 ","70,333.00 ","34,754.00 ",67,67,"6,491",101,27,3,0,1,61,9
"02379, West Bridgewater, MA",02379,"7,294",90,88,156,147,"6,828","6,731",143,"7,151",5,0,0,106,9,"6,731","96,229.51 ","86,149.00 ","36,783.00 ",26,26,"2,573",36,11,1,0,0,23,1
"02382, Whitman, MA",02382,"14,983",139,136,236,228,"14,108","13,917",296,"14,687",6,3,2,198,39,"13,917","95,461.64 ","82,921.00 ","34,982.00 ",38,38,"5,249",68,18,1,0,1,44,4
"02420, Lexington, MA",02420,"15,476","3,264","3,300",253,247,"11,370","11,015",414,"15,062",9,3,1,310,43,"11,015","200,376.20 ","149,653.00 ","72,187.00 ",952,952,"4,362",91,12,3,0,0,70,6
"02421, Lexington, MA",02421,"16,720","3,699","3,726",346,339,"12,082","11,678",443,"16,277",10,1,1,369,28,"11,678","188,562.41 ","144,616.00 ","71,396.00 ","1,165","1,165","4,934",126,8,2,0,1,110,5
"02445, Brookline, MA",02445,"20,840","3,473","3,412",966,874,"15,390","14,754","1,099","19,741",79,8,10,710,69,"14,754","172,917.74 ","118,087.00 ","71,965.00 ","1,330","1,327","6,710",366,63,19,3,1,270,10
"02446, Brookline, MA",02446,"30,518","5,274","5,186","1,002",943,"22,793","21,721","1,656","28,862",46,15,15,"1,172",101,"21,721","126,258.39 ","86,170.00 ","58,584.00 ","2,193","2,189","10,985",651,95,11,4,5,505,31
"02451, Waltham, MA",02451,"17,423","2,145","2,106","1,255","1,195","12,847","11,856","1,821","15,602",45,17,12,"1,039",145,"11,856","108,579.32 ","93,015.00 ","46,147.00 ",768,765,"5,830",526,159,15,3,4,309,36
"02452, Waltham, MA",02452,"16,155","1,886","1,881","1,087","1,045","12,439","11,616","1,219","14,936",44,21,8,817,76,"11,616","97,127.54 ","83,551.00 ","36,126.00 ",639,638,"4,459",277,60,8,1,2,192,14
"02453, Waltham, MA",02453,"29,178","2,889","2,639","1,863","1,618","21,144","18,476","5,799","23,379",128,46,59,"3,023",380,"18,476","94,307.28 ","75,157.00 ","38,200.00 ",953,943,"8,995","1,528",559,35,10,8,814,101
"02457, Babson Park, MA",02457,31,3,2,1,1,26,25,2,29,0,0,0,2,0,25,"67,120.35 ","30,000.00 ","36,985.00 ",1,1,16,1,0,0,0,0,1,0
"02458, Newton, MA",02458,"12,699","1,523","1,547",368,358,"10,206","9,746",639,"12,060",16,4,4,419,50,"9,746","132,439.82 ","98,045.00 ","53,496.00 ",479,479,"4,217",178,40,6,0,0,120,12
