Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"63128, Saint Louis, MO",63128,"28,912",556,504,313,283,"27,554","27,338",445,"28,467",3,7,3,325,35,"27,338","101,295.20 ","78,370.00 ","43,668.00 ",184,183,"11,967",136,23,1,1,1,104,6
"63129, Saint Louis, MO",63129,"53,289","1,274","1,169",808,743,"50,043","49,455","1,109","52,180",7,9,15,800,73,"49,455","95,411.89 ","77,349.00 ","38,235.00 ",390,384,"20,336",340,56,1,6,3,261,13
"63130, Saint Louis, MO",63130,"30,551","1,501","1,481","12,822","12,660","14,891","14,471",872,"29,679",68,12,9,533,66,"14,471","89,873.13 ","68,805.00 ","38,964.00 ",651,649,"6,791",284,53,27,2,1,181,20
"63131, Saint Louis, MO",63131,"16,072",950,913,305,284,"14,451","14,291",288,"15,784",10,4,2,217,19,"14,291","211,843.02 ","146,525.00 ","79,559.00 ",321,320,"5,462",69,8,1,1,0,57,2
"63132, Saint Louis, MO",63132,"13,872","1,190","1,176","5,310","5,225","6,601","6,409",615,"13,257",35,20,3,257,46,"6,409","108,921.89 ","74,135.00 ","47,234.00 ",419,419,"3,134",175,63,18,0,4,79,11
"63133, Saint Louis, MO",63133,"8,150",78,78,"7,332","7,294",501,482,107,"8,043",35,0,0,22,15,482,"46,796.03 ","38,163.00 ","17,644.00 ",32,32,227,32,12,8,0,0,8,4
"63134, Saint Louis, MO",63134,"13,748",117,113,"8,651","8,533","4,043","3,796",874,"12,874",53,15,3,315,60,"3,796","49,158.25 ","41,103.00 ","18,647.00 ",39,36,"1,879",204,105,13,3,2,71,9
"63135, Saint Louis, MO",63135,"20,547",108,107,"12,815","12,744","6,884","6,748",355,"20,192",39,2,1,169,39,"6,748","62,538.59 ","48,912.00 ","24,241.00 ",38,38,"3,182",97,20,13,0,1,53,9
"63136, Saint Louis, MO",63136,"49,967",111,110,"45,013","44,809","3,824","3,762",406,"49,561",194,4,1,72,71,"3,762","52,097.05 ","41,421.00 ","19,954.00 ",39,39,"1,917",110,15,63,0,1,20,11
"63137, Saint Louis, MO",63137,"20,769",44,44,"16,085","16,032","4,183","4,145",147,"20,622",48,2,0,43,24,"4,145","52,814.42 ","46,179.00 ","20,359.00 ",14,14,"2,005",41,6,9,0,2,18,6
