Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"80425, Buffalo Creek, CO",80425,783,23,29,3,4,730,677,54,729,0,0,0,43,4,677,"187,620.35 ","142,969.00 ","65,176.00 ",6,6,260,13,2,0,0,10,1
"80427, Central City, CO",80427,482,15,11,7,6,442,408,50,432,1,4,2,36,2,408,"77,230.75 ","65,341.00 ","38,455.00 ",6,5,227,20,2,0,1,17,0
"80432, Como, CO",80432,"1,841",15,6,10,4,"1,795","1,777",46,"1,795",0,0,0,42,1,"1,777","89,125.44 ","83,333.00 ","36,647.00 ",3,3,745,19,1,0,0,18,0
"80433, Conifer, CO",80433,"8,686",75,92,22,26,"8,396","8,084",315,"8,371",1,6,1,256,24,"8,084","126,526.26 ","110,097.00 ","51,073.00 ",18,18,"3,436",95,10,0,2,80,3
"80436, Dumont, CO",80436,594,1,1,7,5,554,534,44,550,1,3,0,24,3,534,"54,664.14 ","50,000.00 ","25,031.00 ",0,0,256,15,6,0,1,7,1
"80438, Empire, CO",80438,541,0,0,7,6,505,485,40,501,0,2,0,24,2,485,"53,331.65 ","51,071.00 ","24,448.00 ",0,0,235,14,6,0,0,8,0
"80439, Evergreen, CO",80439,"25,795",228,264,87,93,"24,820","24,012",890,"24,905",7,17,1,684,73,"24,012","132,064.66 ","103,688.00 ","54,592.00 ",56,56,"10,377",250,24,1,5,203,17
"80440, Fairplay, CO",80440,"1,125",7,5,2,1,"1,058","1,015",80,"1,045",0,3,0,54,10,"1,015","64,438.88 ","53,947.00 ","32,286.00 ",2,2,538,25,4,0,1,17,3
"80444, Georgetown, CO",80444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0
"80448, Grant, CO",80448,219,2,2,1,1,207,197,11,208,0,0,0,9,1,196,"84,412.31 ","76,136.00 ","37,423.00 ",0,0,95,4,0,0,0,4,0
"80452, Idaho Springs, CO",80452,"3,660",32,26,25,19,"3,464","3,338",227,"3,433",1,10,0,148,28,"3,338","66,855.10 ","56,705.00 ","33,163.00 ",11,11,"1,734",62,12,0,4,44,2
"80453, Idledale, CO",80453,438,5,5,1,1,419,409,11,427,0,0,0,9,1,409,"171,341.78 ","130,556.00 ","70,226.00 ",1,1,174,4,1,0,0,3,0
"80454, Indian Hills, CO",80454,778,7,8,1,1,749,723,27,751,0,1,0,22,1,723,"87,718.20 ","77,632.00 ","34,813.00 ",2,2,297,9,1,0,1,7,0
