Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014","# Asian Non-Hispanic Head of Households, 2014"
"77051, Houston, TX",77051,"16,322",95,82,"14,856","14,618",691,179,"1,348","14,974",167,25,13,583,97,"39,483.00 ","28,840.00 ","15,216.00 ",38,207,335,111,50,3,5,142,24,35
"77053, Houston, TX",77053,"32,523",326,275,"15,170","14,564","10,505",882,"16,455","16,068",295,133,45,"9,947",971,"62,155.62 ","54,158.00 ","17,592.00 ",82,"2,540","3,879","1,203",61,8,31,"2,329",247,74
"77054, Houston, TX",77054,"25,492","7,014","7,140","8,887","8,909","8,014","5,438","3,368","22,124",179,42,36,"2,198",165,"60,069.36 ","48,685.00 ","32,667.00 ","3,295","4,550","1,483",296,70,14,17,"1,017",69,"3,281"
"77055, Houston, TX",77055,"42,974","1,694","1,697","1,635","1,437","30,058","13,401","25,915","17,059",260,342,70,"16,499","1,399","88,493.66 ","49,341.00 ","30,500.00 ",608,"10,854","6,906","1,909",69,18,85,"4,450",375,590
"77056, Houston, TX",77056,"19,625","2,292","2,632",937,"1,050","15,411","12,678","2,781","16,844",27,15,9,"2,179",125,"144,600.23 ","100,337.00 ","80,611.00 ","1,165","8,696","1,386",232,14,2,6,"1,080",52,"1,163"
"77057, Houston, TX",77057,"45,585","2,911","3,056","3,761","3,744","31,192","19,253","18,600","26,985",270,"1,270",62,"11,415","1,242","93,348.12 ","61,066.00 ","45,932.00 ","1,414","16,048","6,561","1,463",98,22,366,"4,188",424,"1,392"
"77058, Houston, TX",77058,"18,937","2,058","2,364","1,357","1,515","13,988","10,853","3,586","15,351",50,50,18,"2,518",248,"82,911.41 ","63,180.00 ","41,440.00 ",812,"7,377","1,338",253,18,4,16,970,77,808
"77059, Houston, TX",77059,"16,953","3,015","3,208",462,479,"12,828","11,309","1,519","15,434",13,20,11,"1,257",72,"174,758.67 ","142,496.00 ","59,490.00 ",868,"4,616",378,30,2,2,5,328,11,866
"77060, Houston, TX",77060,"43,565",339,204,"10,064","8,568","20,461","2,370","32,107","11,458",530,548,112,"19,116","1,836","46,668.49 ","34,589.00 ","14,919.00 ",134,"5,911","8,581","2,681",142,23,146,"5,073",516,111
"77061, Houston, TX",77061,"25,767","1,440","1,283","5,792","5,058","12,158","2,248","16,982","8,785",296,189,45,"10,478",753,"52,522.38 ","36,066.00 ","17,807.00 ",489,"3,892","4,840","1,541",96,9,47,"2,917",230,480
"77062, Houston, TX",77062,"25,789","3,585","4,044","1,301","1,399","19,114","15,252","4,303","21,486",70,47,28,"3,112",230,"122,186.67 ","99,794.00 ","45,100.00 ","1,082","7,512","1,176",225,10,5,16,871,49,"1,077"
"77063, Houston, TX",77063,"34,703","3,343","3,470","6,303","6,354","20,791","12,885","11,083","23,620",258,179,41,"7,385",682,"84,699.46 ","57,765.00 ","42,606.00 ","1,569","10,691","4,289",969,85,14,58,"2,907",256,"1,555"
"77064, Houston, TX",77064,"49,875","7,937","8,210","7,077","7,139","27,608","14,889","18,606","31,269",265,319,104,"11,968",972,"89,894.84 ","71,587.00 ","30,431.00 ","2,261","9,931","4,788","1,289",61,20,66,"3,135",217,"2,241"
"77065, Houston, TX",77065,"37,815","4,212","4,685","6,225","6,757","22,866","15,195","10,196","27,619",230,100,56,"6,269",720,"84,758.04 ","65,986.00 ","33,095.00 ","1,258","9,548","3,052",874,55,14,29,"1,904",176,"1,244"
"77066, Houston, TX",77066,"31,700","4,659","4,606","7,782","7,579","13,505","5,948","13,101","18,599",213,159,59,"7,541",918,"82,112.57 ","69,136.00 ","25,722.00 ","1,267","4,612","3,250","1,046",37,8,28,"1,915",216,"1,259"
"77067, Houston, TX",77067,"32,515","2,251","2,055","13,847","12,941","9,521","1,132","16,000","16,515",315,174,102,"9,091",993,"57,657.28 ","44,819.00 ","17,420.00 ",602,"2,585","4,008","1,357",70,19,33,"2,289",240,583
