Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"97049, Rhododendron, OR",97049,"1,844",22,22,1,1,"1,712","1,652",93,"1,751",0,1,1,55,8,"1,652","75,472.69 ","57,383.00 ","33,824.00 ",5,5,781,27,5,0,0,0,20,2
"97051, Saint Helens, OR",97051,"16,980",270,230,72,59,"15,284","14,948",940,"16,040",5,37,8,488,152,"14,948","67,266.16 ","59,944.00 ","25,894.00 ",60,59,"6,001",230,44,1,1,8,151,25
"97053, Warren, OR",97053,"2,973",39,35,7,5,"2,761","2,739",81,"2,892",2,2,2,33,10,"2,739","106,170.72 ","76,759.00 ","41,944.00 ",10,8,"1,126",30,9,0,2,0,16,3
"97054, Deer Island, OR",97054,"1,584",14,13,2,2,"1,480","1,473",32,"1,552",0,0,0,15,8,"1,473","85,164.72 ","82,045.00 ","32,206.00 ",3,3,572,10,2,0,0,0,7,1
"97055, Sandy, OR",97055,"18,665",275,275,55,49,"16,976","16,220","1,366","17,299",7,34,5,736,80,"16,220","77,475.07 ","69,756.00 ","29,630.00 ",60,58,"6,719",312,100,0,2,7,190,13
"97056, Scappoose, OR",97056,"11,391",165,151,43,37,"10,365","10,218",509,"10,882",3,12,0,208,70,"10,218","81,376.41 ","63,866.00 ","33,004.00 ",37,37,"4,264",120,41,0,0,3,67,9
"97060, Troutdale, OR",97060,"21,332","1,134","1,151",569,550,"16,827","15,330","3,426","17,906",36,100,19,"1,417",279,"15,330","74,460.08 ","63,176.00 ","26,327.00 ",291,288,"6,360",762,347,4,3,25,329,54
"97062, Tualatin, OR",97062,"28,704","1,411","1,416",377,362,"22,584","20,514","4,996","23,708",24,44,29,"1,993",305,"20,514","96,359.68 ","73,782.00 ","36,467.00 ",472,465,"9,079","1,261",654,8,7,14,518,60
"97064, Vernonia, OR",97064,"3,357",26,21,12,10,"3,158","3,103",116,"3,241",0,4,1,83,14,"3,103","76,782.81 ","64,000.00 ","29,930.00 ",4,4,"1,259",24,4,0,0,1,19,0
"97067, Welches, OR",97067,"1,726",12,11,1,1,"1,559","1,483",157,"1,569",0,15,2,71,2,"1,483","90,340.56 ","74,436.00 ","39,638.00 ",2,1,710,44,13,0,1,2,28,0
"97068, West Linn, OR",97068,"28,919","1,425","1,408",182,179,"25,964","25,155","1,180","27,739",4,8,26,791,109,"25,155","128,640.82 ","99,209.00 ","49,098.00 ",418,414,"10,219",310,59,1,4,3,226,17
"97070, Wilsonville, OR",97070,"22,149","1,074","1,047",263,233,"18,749","17,447","2,649","19,500",29,52,24,"1,307",210,"17,447","88,449.75 ","67,465.00 ","36,561.00 ",361,354,"8,053",676,237,6,7,20,369,37
"97080, Gresham, OR",97080,"42,734","2,069","2,188",736,740,"35,810","33,185","4,824","37,910",46,110,28,"2,307",452,"33,185","85,273.98 ","70,536.00 ","30,833.00 ",588,577,"13,499","1,081",417,8,11,29,547,69
"97086, Happy Valley, OR",97086,"25,321","4,217","4,172",428,379,"18,434","17,307","2,498","22,823",47,58,26,"1,153",251,"17,307","95,583.82 ","77,220.00 ","34,817.00 ","1,183","1,175","7,279",625,224,10,8,15,326,42
"97089, Damascus, OR",97089,"12,314",487,495,65,66,"11,173","10,800",584,"11,730",0,10,2,355,58,"10,800","102,409.58 ","95,095.00 ","36,126.00 ",138,137,"4,036",135,35,0,1,2,92,5
"97106, Banks, OR",97106,"4,821",56,65,17,19,"4,471","4,257",268,"4,553",1,6,1,169,20,"4,257","93,890.54 ","82,432.00 ","32,234.00 ",19,18,"1,570",52,16,0,1,1,32,2
"97109, Buxton, OR",97109,612,4,5,1,1,566,548,27,585,0,1,0,10,2,548,"95,974.57 ","83,654.00 ","33,370.00 ",0,0,199,5,2,0,0,0,3,0
"97111, Carlton, OR",97111,"3,327",35,47,7,10,"3,073","2,852",237,"3,090",0,4,2,150,10,"2,852","71,462.34 ","63,272.00 ","25,304.00 ",11,11,"1,118",42,16,0,0,0,26,0
"97113, Cornelius, OR",97113,"14,354",310,256,153,87,"9,450","7,108","6,311","8,043",51,63,8,"2,508",219,"7,108","71,432.73 ","57,139.00 ","22,443.00 ",91,88,"3,309","1,273",705,11,3,11,509,34
"97115, Dundee, OR",97115,"4,194",68,96,23,36,"3,852","3,452",430,"3,764",0,16,6,290,15,"3,452","92,722.05 ","83,303.00 ","33,600.00 ",18,18,"1,418",88,26,0,0,4,56,2
"97116, Forest Grove, OR",97116,"25,726",754,736,203,160,"19,969","17,609","5,954","19,772",46,90,30,"2,325",279,"17,609","70,143.36 ","55,881.00 ","25,785.00 ",143,138,"7,682","1,280",687,9,5,17,522,40
"97117, Gales Creek, OR",97117,554,7,8,1,1,512,492,34,520,0,1,0,16,3,492,"78,623.41 ","64,063.00 ","29,662.00 ",1,1,201,8,3,0,0,1,4,0
