Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"91354, Valencia, CA",91354,"27,470","4,399","5,055",901,"1,005","19,657","15,602","4,392","23,078",42,43,77,"2,970",387,"15,602","127,765.76 ","111,182.00 ","44,184.00 ","1,386","1,369","7,165","1,175",224,14,17,16,838,66
"91355, Valencia, CA",91355,"34,156","3,988","4,763",928,"1,055","25,556","20,154","6,460","27,696",59,67,62,"4,075",568,"20,154","116,112.38 ","101,722.00 ","44,586.00 ","1,307","1,292","10,412","1,811",434,11,15,18,"1,225",108
"91356, Tarzana, CA",91356,"28,718","1,966","2,237","1,248","1,362","21,991","19,094","4,236","24,482",65,30,23,"2,189",306,"19,094","116,068.75 ","75,634.00 ","46,398.00 ",712,708,"9,068","1,258",441,20,4,9,700,84
"91364, Woodland Hills, CA",91364,"25,743","1,704","1,993",970,"1,082","20,837","18,483","2,491","23,252",59,27,25,"1,601",234,"18,483","131,975.26 ","105,553.00 ","53,117.00 ",592,585,"8,724",703,130,15,7,9,471,71
"91367, Woodland Hills, CA",91367,"38,752","4,947","5,697","1,746","1,953","28,278","24,248","4,505","34,247",67,62,51,"2,625",466,"24,248","112,923.82 ","84,611.00 ","47,833.00 ","1,930","1,917","12,438","1,371",376,22,13,17,836,107
"91371, Woodland Hills, CA",91371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"91381, Stevenson Ranch, CA",91381,"20,088","4,832","5,346",665,703,"12,670","9,819","3,149","16,939",38,19,62,"2,084",269,"9,819","150,301.53 ","125,818.00 ","49,502.00 ","1,413","1,400","4,512",842,196,15,13,7,579,32
"91384, Castaic, CA",91384,"28,100","2,423","2,616","2,930","3,129","15,857","11,200","10,065","18,035",123,93,76,"3,954",492,"11,200","130,658.19 ","116,730.00 ","29,571.00 ",662,656,"4,754","1,253",336,9,6,18,807,77
"91387, Canyon Country, CA",91387,"42,695","4,559","4,912","2,829","2,896","26,066","17,931","14,881","27,814",204,172,107,"7,210","1,191","17,931","113,962.26 ","89,109.00 ","36,515.00 ","1,342","1,319","9,253","3,495","1,318",39,23,52,"1,845",218
"91390, Santa Clarita, CA",91390,"18,739","1,464","1,856",578,707,"14,491","11,308","3,734","15,005",38,25,47,"2,309",338,"11,308","135,792.27 ","120,784.00 ","43,190.00 ",416,405,"4,906",858,202,5,11,12,581,47
"91401, Van Nuys, CA",91401,"39,932","2,260","2,412","1,873","1,778","26,315","16,783","17,336","22,596",263,219,75,"8,984","1,045","16,783","79,907.16 ","54,854.00 ","29,687.00 ",831,809,"10,466","4,700","1,628",64,22,58,"2,610",318
