Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# Black Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014"
"46816, Fort Wayne, IN",46816,18935,2481,2384,7206,6996,7537,6784,2213,16722,136,19,72,858,235,6784,531,520,2946,3346,543,224,29,11,3,228,48,48308.646865139,38905,18941
"46240, Indianapolis, IN",46240,18916,1007,1012,1940,1918,14372,13663,1853,17063,38,10,3,681,86,13663,362,360,971,7544,614,329,5,2,3,243,32,83639.901076644,60263,41909
"46733, Decatur, IN",46733,18906,59,72,53,58,18155,17373,1176,17730,5,9,0,718,74,17373,11,11,12,7092,321,130,2,0,3,178,8,62265.704321663,53080,24184
"46016, Anderson, IN",46016,18688,49,39,4721,4613,12457,11868,1721,16967,37,41,9,668,118,11868,19,13,1911,5198,377,173,20,6,11,140,27,39832.330518697,30124,16534
"46135, Greencastle, IN",46135,18315,239,228,329,312,17288,17154,286,18029,10,4,6,153,43,17154,55,53,54,6237,57,13,3,2,1,31,7,66119.806104968,53367,24078
"46319, Griffith, IN",46319,18259,177,164,3016,2903,13780,12125,2681,15578,84,6,11,1691,242,12125,48,46,1201,5541,704,185,15,2,1,456,45,75088.66265566,62510,29434
"46250, Indianapolis, IN",46250,18167,681,677,2630,2633,13413,12770,1573,16594,30,4,13,594,110,12770,332,329,1221,6986,491,252,5,3,2,206,23,86367.503625209,65086,43443
"46703, Angola, IN",46703,18126,148,151,177,170,17284,16794,759,17367,20,9,8,447,27,16794,43,41,34,6711,138,43,3,2,3,83,4,64213.384370478,53319,25202
"47501, Washington, IN",47501,17940,152,175,171,187,16646,16099,1305,16635,22,14,12,440,143,16099,36,34,56,6688,229,144,1,2,0,70,12,64776.986266094,51946,25862
"46637, South Bend, IN",46637,17920,729,740,1445,1455,14959,14269,939,16981,30,9,9,615,72,14269,228,225,518,5758,197,36,8,3,3,141,6,62806.277794426,52448,24263
"46013, Anderson, IN",46013,17878,174,171,1610,1607,15461,15133,628,17250,25,8,5,300,47,15133,47,46,681,7277,165,64,9,1,5,76,10,52767.941572758,43503,24112
