Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# Population, Hispanic, Other Race Alone, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"40208, Louisville, KY",40208,13858,247,239,5061,5005,7695,7401,604,13254,61,4,8,288,96,147,7401,43724.31628,29327,18995,109,106,3345,168,43,16,3,2,87,17
"40071, Taylorsville, KY",40071,13853,69,80,174,204,13349,13138,218,13635,1,2,1,136,24,54,13138,83217.50767,70464,30388,17,17,4859,49,14,1,0,2,30,2
"41143, Grayson, KY",41143,13734,51,52,105,122,13337,13155,239,13495,2,1,7,128,16,85,13155,53579.88311,40888,21833,14,11,5195,50,17,0,3,0,28,2
"40175, Vine Grove, KY",40175,13524,304,296,1147,1142,11452,11150,485,13039,15,4,10,287,73,96,11150,68694.45564,56183,25255,71,70,4347,131,36,5,1,1,81,7
"42211, Cadiz, KY",42211,13451,54,56,879,925,12176,11987,191,13260,0,1,1,125,18,46,11987,62577.38284,48331,26071,11,11,5060,51,9,0,0,1,37,4
"40217, Louisville, KY",40217,13424,411,421,1099,1117,11473,11292,261,13163,13,7,1,130,64,46,11292,55445.1079,46419,26275,176,175,5443,80,12,3,1,3,47,14
"40965, Middlesboro, KY",40965,13266,94,85,411,400,12299,12261,96,13170,7,1,8,46,10,24,12261,40154.24704,28712,17515,27,25,5289,30,6,2,2,0,19,1
"40033, Lebanon, KY",40033,13239,123,135,1342,1507,11203,10809,487,12752,9,4,4,168,30,272,10809,54802.40908,43664,21445,39,37,4261,98,47,2,2,0,44,3
"42642, Russell Springs, KY",42642,13050,25,31,29,45,12596,12116,595,12455,6,12,9,315,30,223,12116,44212.44236,31435,18607,6,5,5337,131,69,1,1,2,55,3
"40336, Irvine, KY",40336,12958,14,14,34,33,12760,12708,93,12865,1,2,0,53,18,19,12708,44256.86865,33344,18146,3,3,5199,22,1,1,0,1,15,4
"41094, Walton, KY",41094,12673,151,144,140,131,12057,11916,280,12393,4,2,1,161,14,98,11916,85570.2205,74058,30456,53,53,4349,62,16,0,0,0,43,3
"40484, Stanford, KY",40484,12635,28,27,624,619,11646,11535,258,12377,3,2,1,114,16,122,11535,48861.90164,39234,19795,8,7,4697,64,27,2,1,1,32,1
"40108, Brandenburg, KY",40108,11939,67,74,218,236,11283,11075,209,11730,7,1,1,138,37,25,11075,67184.21887,55732,26307,11,11,4316,56,8,3,0,0,39,6
"41465, Salyersville, KY",41465,11900,7,7,19,19,11728,11680,104,11796,0,9,0,46,18,31,11680,41361.01076,30154,16739,0,0,4676,34,7,0,0,2,19,6
"40513, Lexington, KY",40513,11749,1555,1591,354,358,9533,9270,265,11484,4,0,2,212,17,30,9270,140163.8922,116978,53339,426,426,3789,73,6,1,0,0,65,1
"41230, Louisa, KY",41230,11525,32,33,25,24,11344,11315,50,11475,1,0,0,26,1,22,11315,48102.37027,36067,19040,3,3,4498,14,5,0,0,0,9,0
"41164, Olive Hill, KY",41164,11477,8,8,32,36,11324,11238,102,11375,0,1,1,70,19,11,11238,49527.42353,37751,19386,1,1,4439,24,1,0,0,1,21,1
"41653, Prestonsburg, KY",41653,11461,30,31,90,91,11193,11133,107,11354,1,0,0,55,11,40,11133,47183.2308,33913,19797,11,11,4652,23,10,0,0,0,12,1
"42445, Princeton, KY",42445,11368,41,42,675,695,10438,10303,145,11223,4,4,0,105,5,27,10303,57692.54768,44197,24179,10,10,4362,35,6,1,0,4,24,0
"41035, Dry Ridge, KY",41035,11213,87,86,51,50,10794,10604,332,10881,2,3,3,183,15,126,10604,69862.50385,55738,24366,22,20,3803,65,25,2,2,0,34,0
"42345, Greenville, KY",42345,11173,27,26,625,608,10381,10308,130,11043,6,0,0,87,17,20,10308,62587.95793,46256,26766,6,6,4053,17,4,0,0,0,11,2
"40243, Louisville, KY",40243,10992,254,248,796,785,9584,9319,438,10554,13,3,7,261,19,135,9319,93986.45654,76043,40987,81,79,4280,122,36,2,2,2,76,4
"40242, Louisville, KY",40242,10865,272,273,979,970,9135,8808,549,10316,19,5,2,312,49,162,8808,85008.64571,68669,37432,104,103,4130,126,33,3,1,1,80,8
"42261, Morgantown, KY",42261,10022,15,19,51,67,9665,9484,347,9675,1,14,1,132,14,185,9484,48651.49036,40037,19534,5,5,3885,89,52,0,0,2,32,3
"41129, Catlettsburg, KY",41129,9989,34,32,49,48,9792,9745,72,9917,0,2,1,50,3,16,9745,68888.56998,54624,26916,7,7,3801,20,4,0,0,1,15,0
"41472, West Liberty, KY",41472,9885,55,50,533,519,9151,9100,97,9788,1,1,4,68,6,17,9100,54451.9473,34145,19178,10,10,3223,10,1,0,0,0,9,0
"42330, Central City, KY",42330,9610,21,21,625,613,8753,8663,186,9424,1,0,0,103,20,62,8663,54652.67859,41847,20927,5,5,3258,31,10,0,0,0,19,2
"41339, Jackson, KY",41339,9531,89,84,28,27,9311,9255,87,9444,0,8,1,63,2,13,9255,41389.08527,27034,16983,19,19,3747,15,0,0,0,1,13,1
"41144, Greenup, KY",41144,9486,17,16,146,139,9191,9157,62,9424,1,2,0,46,8,5,9157,61465.72201,48272,24215,4,4,3514,12,0,0,0,1,10,1
"40121, Fort Knox, KY",40121,9452,230,218,1685,1550,6546,5737,1426,8026,117,27,10,835,170,267,5737,66127.16043,57781,18393,45,43,1735,311,66,32,2,6,192,13
"42539, Liberty, KY",42539,9418,26,18,83,77,9074,9000,186,9232,2,2,7,85,18,72,9000,39880.88782,30558,16960,5,4,3664,47,19,1,1,1,22,3
"40118, Fairdale, KY",40118,9403,94,79,277,237,8297,7878,1037,8366,31,13,12,437,86,458,7878,57603.76707,48662,22250,25,24,3343,236,97,6,1,4,117,11
"40906, Barbourville, KY",40906,9394,15,15,290,285,8907,8878,59,9335,1,1,0,34,7,16,8878,39370.21503,24322,16195,7,7,3593,13,4,1,0,0,6,2
"42602, Albany, KY",42602,9376,40,26,46,50,9057,8977,187,9189,0,1,16,64,17,89,8977,40936.61724,30352,17990,8,4,3876,47,20,0,4,0,20,3
"42743, Greensburg, KY",42743,8992,17,18,160,166,8597,8500,132,8860,2,5,0,80,17,28,8500,53066.77952,37880,22014,4,4,3563,27,6,2,0,2,14,3
"42437, Morganfield, KY",42437,8914,44,44,1591,1610,7062,6892,195,8719,3,0,1,145,15,31,6892,58768.33522,44906,21199,8,8,2662,23,6,0,0,0,15,2
"40977, Pineville, KY",40977,8824,13,13,154,149,8544,8524,36,8788,2,0,0,24,2,8,8524,50762.25772,30686,20189,3,3,3390,14,1,1,0,0,10,2
"42262, Oak Grove, KY",42262,8611,218,208,1720,1588,5683,5129,1157,7454,103,29,6,597,136,286,5129,49978.0842,40810,18337,86,81,2177,393,108,32,5,6,212,30
"41139, Flatwoods, KY",41139,8457,38,36,75,71,8227,8200,57,8400,1,4,1,33,1,17,8200,64937.22049,49555,27243,13,13,3384,13,3,0,0,1,9,0
"42748, Hodgenville, KY",42748,8437,15,13,427,436,7755,7512,365,8072,7,4,2,223,26,103,7512,51076.42085,39232,20887,3,3,3109,75,35,2,0,0,35,3
