Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# Population, Hispanic, Other Race Alone, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"40923, Cannon, KY",40923,952,0,0,2,2,936,931,7,945,0,0,0,4,0,3,931,39790.33973,29464,15256,0,0,360,1,1,0,0,0,0,0
"41660, Teaberry, KY",41660,950,1,1,2,2,939,939,2,948,0,0,0,0,1,1,939,24011.49871,14772,9782,0,0,383,1,1,0,0,0,0,0
"40155, Muldraugh, KY",40155,940,9,10,69,73,794,767,27,913,0,0,0,19,2,6,767,39875.12136,34811,17477,3,3,354,10,2,0,0,0,7,1
"41385, Vancleve, KY",41385,938,4,4,2,2,921,918,6,932,0,0,0,5,0,1,918,54412.93036,27500,21810,0,0,354,1,0,0,0,0,1,0
"42451, Reed, KY",42451,926,2,2,6,7,906,897,12,914,0,0,0,8,1,3,897,62348.62209,47829,23162,0,0,340,2,1,0,0,0,1,0
"42232, Gracey, KY",42232,925,19,20,56,57,827,814,15,910,0,0,0,10,2,3,814,83551.32153,68284,30622,4,4,307,4,1,0,0,0,3,0
"41274, Wittensville, KY",41274,922,1,1,2,2,909,907,4,918,0,0,0,2,1,1,907,60139.60705,46875,24069,0,0,362,2,1,0,0,0,0,0
"42286, Trenton, KY",42286,918,2,2,56,55,826,799,49,869,2,0,0,26,1,20,799,59454.87278,49773,22163,1,1,307,10,4,1,0,0,4,1
"42722, Canmer, KY",42722,914,1,1,35,40,858,850,10,904,0,0,0,1,6,3,850,59829.09348,52500,23214,0,0,334,2,1,0,0,0,0,1
"42344, Graham, KY",42344,908,2,2,5,5,891,890,2,906,0,0,0,1,1,0,890,46773.52113,37857,18287,0,0,350,0,0,0,0,0,0,0
"41601, Allen, KY",41601,906,0,0,2,2,893,892,1,905,0,0,0,1,0,0,892,59859.4717,38611,24519,0,0,366,1,0,0,0,0,1,0
"41615, Dana, KY",41615,905,0,0,4,4,890,887,5,900,0,0,0,2,0,3,887,62800.74648,48548,24635,0,0,349,1,1,0,0,0,0,0
"41719, Bonnyman, KY",41719,902,22,20,6,6,860,858,10,892,0,0,0,4,2,4,858,61224.22699,32500,27305,8,8,315,2,1,0,0,0,1,0
"40022, Finchville, KY",40022,901,5,6,27,32,854,835,19,882,0,0,0,12,1,6,835,94404.36364,82895,35729,1,1,322,6,1,0,0,0,5,0
"42204, Allensville, KY",42204,897,1,1,128,123,733,702,53,844,0,0,0,37,2,14,702,66860.88401,54643,23986,0,0,259,11,3,0,0,0,8,0
"41544, Mc Carr, KY",41544,889,1,1,0,0,879,877,3,886,0,0,0,3,0,0,877,52651.08455,35341,20314,0,0,342,2,0,0,0,0,2,0
"41836, Mallie, KY",41836,888,0,0,25,25,852,849,6,882,0,0,0,3,1,2,849,48136.01429,31290,19182,0,0,337,2,0,0,0,0,2,0
"42024, Barlow, KY",42024,888,1,1,24,25,842,838,7,881,0,0,0,3,2,2,838,64671.8311,49423,27173,0,0,359,2,0,0,0,0,2,0
"42265, Olmstead, KY",42265,883,3,3,59,58,794,784,28,855,1,1,0,10,1,15,784,67079.88102,50403,28441,1,1,323,6,4,0,0,0,2,0
"40115, Custer, KY",40115,882,1,1,4,4,842,836,13,869,0,2,0,5,1,5,836,48941.64759,38913,18422,0,0,319,3,1,0,0,0,2,0
"40958, Kettle Island, KY",40958,879,0,0,2,2,870,867,5,874,0,0,0,3,1,1,867,31826.10063,27600,11899,0,0,313,2,0,0,0,0,2,0
"42085, Water Valley, KY",42085,868,4,5,17,20,832,810,23,845,0,0,0,17,1,5,810,49384.75783,39180,19970,1,1,335,4,1,0,0,0,2,1
"41667, Weeksbury, KY",41667,848,1,1,62,62,782,780,3,845,0,0,0,2,0,1,780,34317.83217,19318,13112,0,0,264,0,0,0,0,0,0,0
"42236, Herndon, KY",42236,838,11,12,35,38,769,752,22,816,0,0,0,12,6,4,752,62370.08442,56250,22924,2,2,285,7,2,0,0,0,4,1
"40813, Calvin, KY",40813,832,0,0,0,0,822,817,5,827,0,0,0,3,1,1,818,39393.73089,35769,15500,0,0,324,1,0,0,0,0,1,0
"41554, Phyllis, KY",41554,831,2,2,1,1,816,809,9,822,0,0,0,7,2,0,809,43859.9292,36084,17892,0,0,335,1,0,0,0,0,1,0
"41203, Beauty, KY",41203,827,0,0,1,1,816,814,4,823,0,1,0,2,1,0,814,50046.77204,33000,20039,0,0,324,1,0,0,0,1,0,0
"42367, Powderly, KY",42367,827,1,1,0,0,809,804,10,817,0,0,0,2,0,8,804,49295.37222,35652,21497,0,0,357,1,1,0,0,0,0,0
"42123, Austin, KY",42123,821,2,2,3,3,800,789,13,808,0,0,0,9,1,3,789,58826.29755,46695,23359,0,0,322,4,1,0,0,0,3,0
"40434, Gray Hawk, KY",40434,805,1,1,1,1,795,790,5,800,0,0,0,4,0,1,790,37702.26549,23966,15877,0,0,337,1,0,0,0,0,1,0
"41826, Jeremiah, KY",41826,804,0,0,0,0,802,798,4,800,0,0,0,4,0,0,798,45069.23429,26860,19620,0,0,350,1,0,0,0,0,1,0
"42275, Roundhill, KY",42275,792,0,0,2,2,780,779,2,790,0,0,0,1,0,1,779,46433.96178,35789,18410,0,0,310,0,0,0,0,0,0,0
"41564, Sidney, KY",41564,791,0,0,1,1,783,780,5,786,0,0,0,4,1,0,780,53428.62745,43438,20669,0,0,303,2,0,0,0,0,2,0
"41630, Garrett, KY",41630,791,0,0,1,1,786,786,0,791,0,0,0,0,0,0,786,47147.84226,34333,20027,0,0,334,0,0,0,0,0,0,0
"41528, Freeburn, KY",41528,788,1,0,3,3,773,770,4,784,0,0,1,2,1,0,770,44464.32615,34474,18339,0,0,321,1,0,0,0,0,1,0
"42069, Melber, KY",42069,784,4,5,9,11,750,738,17,767,0,0,0,7,3,7,738,76273.70066,66912,29736,1,1,297,3,2,0,0,0,1,0
"40855, Lynch, KY",40855,782,2,2,139,139,627,625,7,775,1,1,0,1,3,1,625,43832.64706,32200,19058,1,1,275,3,1,0,0,1,1,0
"41727, Chavies, KY",41727,782,0,0,1,1,769,766,3,779,0,0,0,2,0,1,766,117319.4539,41667,45608,0,0,302,1,0,0,0,0,1,0
"42753, Knifley, KY",42753,781,1,0,5,7,761,743,20,761,1,0,1,10,0,8,743,54480.34694,41226,20509,1,0,288,4,1,1,1,0,1,0
"41257, Stambaugh, KY",41257,778,2,2,4,4,768,767,1,777,0,0,0,1,0,0,767,41677.03526,30918,16714,1,1,309,1,0,0,0,0,1,0
"41255, Sitka, KY",41255,777,3,3,1,1,765,765,0,777,0,0,0,0,0,0,765,35188.19018,29211,14764,1,1,324,0,0,0,0,0,0,0
"41352, Mize, KY",41352,774,1,1,1,1,766,758,9,765,0,0,0,8,1,0,758,45438.70968,27778,18199,0,0,307,2,0,0,0,0,2,0
"41166, Quincy, KY",41166,771,0,0,5,5,754,747,8,763,0,0,0,7,0,1,747,42981.9398,27222,16669,0,0,297,1,0,0,0,0,1,0
"41839, Mousie, KY",41839,767,1,1,4,3,755,754,2,765,1,0,0,1,0,0,754,45243.30065,34512,19043,0,0,304,0,0,0,0,0,0,0
"42533, Ferguson, KY",42533,766,7,5,15,16,710,688,45,721,0,0,2,21,3,19,688,46109.88552,27500,18145,1,1,278,9,5,0,0,0,3,1
"40010, Buckner, KY",40010,764,7,7,10,8,727,707,34,730,1,0,0,21,6,6,706,132050.3038,116848,41217,2,2,229,5,1,0,0,0,4,0
"40763, Siler, KY",40763,764,1,1,0,0,749,744,6,758,0,0,0,4,0,2,744,30375.63291,23750,12564,0,0,311,1,0,0,0,0,1,0
"41642, Ivel, KY",41642,761,2,3,2,3,751,745,6,755,0,0,0,4,0,2,745,46870.27389,42258,19350,1,1,309,1,0,0,0,0,1,0
"40862, Partridge, KY",40862,759,0,0,3,3,746,746,0,759,0,0,0,0,0,0,746,50401.02318,41986,20163,0,0,297,0,0,0,0,0,0,0
"41558, Ransom, KY",41558,759,2,2,0,0,754,754,1,758,0,0,0,1,0,0,754,34958.72274,28542,14785,0,0,320,0,0,0,0,0,0,0
"41408, Cannel City, KY",41408,756,1,1,1,1,748,743,6,750,0,0,0,5,1,0,744,46421.16667,33788,18421,0,0,298,1,0,0,0,0,1,0
"41828, Kite, KY",41828,749,0,0,0,0,744,744,1,748,0,0,0,1,0,0,744,54973.75,42647,22019,0,0,298,1,0,0,0,0,1,0
"41831, Leburn, KY",41831,738,0,0,2,2,729,729,2,736,0,0,0,0,2,0,729,49814.7451,35968,20694,0,0,303,0,0,0,0,0,0,0
"42565, Windsor, KY",42565,737,2,2,9,9,701,693,18,719,1,0,0,5,1,11,694,48414.19011,35833,17636,0,0,259,4,2,0,0,0,2,0
"41835, Mc Roberts, KY",41835,736,0,0,12,13,713,711,3,733,0,0,0,0,1,2,711,54357.21405,34016,22083,0,0,290,1,1,0,0,0,0,0
"40840, Helton, KY",40840,735,0,0,3,2,730,729,2,733,0,0,0,2,0,0,729,41051.98635,26212,16365,0,0,293,1,0,0,0,0,1,0
"41815, Ermine, KY",41815,733,0,0,0,0,733,731,2,731,0,0,0,2,0,0,731,44476.85091,23824,16720,0,0,275,0,0,0,0,0,0,0
"40152, Mc Daniels, KY",40152,728,4,4,2,2,712,709,5,723,0,0,0,4,1,0,709,52181.64983,55870,21599,0,0,292,2,0,0,0,0,2,0
"41149, Isonville, KY",41149,728,2,2,0,0,720,716,6,722,0,0,0,3,1,2,716,23229.88235,16343,8679,0,0,270,1,1,0,0,0,0,0
"41636, Hi Hat, KY",41636,728,0,0,0,0,725,725,0,728,0,0,0,0,0,0,725,53765.05298,45086,22304,0,0,300,0,0,0,0,0,0,0
"41503, South Williamson, KY",41503,723,25,24,11,11,660,656,20,703,0,0,0,5,2,13,656,49062.98077,31190,23733,6,6,296,5,3,0,0,0,1,1
"41721, Buckhorn, KY",41721,723,0,0,3,3,714,713,2,721,0,1,0,0,0,1,712,41246.4539,29688,16539,0,0,281,0,0,0,0,0,0,0
"41513, Belcher, KY",41513,721,1,1,0,0,714,710,6,715,0,0,0,4,1,1,710,40318.39465,30128,16720,0,0,298,2,0,0,0,0,2,0
"41843, Pine Top, KY",41843,719,0,0,1,1,716,714,2,717,0,0,0,2,0,0,714,46008.11745,35000,19069,0,0,296,1,0,0,0,0,1,0
"40940, Frakes, KY",40940,718,0,0,0,0,707,704,4,714,0,0,0,3,0,1,704,26633.9527,22895,10980,0,0,292,1,0,0,0,0,1,0
"40445, Livingston, KY",40445,714,1,0,2,2,698,696,3,711,0,0,1,2,0,0,696,33317.38411,20349,14092,1,0,295,2,0,0,1,0,1,0
"41725, Carrie, KY",41725,707,1,1,2,2,700,699,3,704,0,0,0,2,0,1,699,53250.83813,37083,21362,0,0,276,1,0,0,0,0,0,0
"41045, Ghent, KY",41045,706,13,13,13,13,640,638,23,683,0,2,0,1,3,17,638,86064.69925,61111,32434,2,2,246,5,5,0,0,0,0,0
"41264, Ulysses, KY",41264,697,0,0,0,0,694,694,0,697,0,0,0,0,0,0,694,43134.43223,37143,16895,0,0,272,0,0,0,0,0,0,0
"41602, Auxier, KY",41602,694,1,1,3,3,680,676,5,689,0,0,0,5,0,0,676,50297.01987,39444,21904,1,1,297,1,0,0,0,0,1,0
"42566, Yosemite, KY",42566,694,1,1,1,1,683,678,6,688,0,0,0,5,0,1,678,49066.60791,38750,20330,0,0,274,2,1,0,0,0,1,0
"40820, Cranks, KY",40820,689,0,0,6,6,673,673,0,689,0,0,0,0,0,0,673,35791.63498,29211,13662,0,0,259,0,0,0,0,0,0,0
"41548, Mouthcard, KY",41548,686,0,0,3,4,680,677,3,683,0,0,0,2,0,1,678,51440.2439,45147,21521,0,0,286,1,0,0,0,0,1,0
"40863, Pathfork, KY",40863,685,1,1,0,0,683,683,0,685,0,0,0,0,0,0,683,44802.55,32447,19622,0,0,300,0,0,0,0,0,0,0
"42280, Sharon Grove, KY",42280,683,1,2,1,2,670,654,22,661,0,1,0,13,1,7,654,38611.18182,26944,14303,0,0,249,4,2,0,0,0,2,0
"41559, Regina, KY",41559,676,1,1,4,3,667,666,2,674,0,0,0,2,0,0,666,36291.12319,27414,14817,0,0,274,0,0,0,0,0,0,0
"41655, Printer, KY",41655,672,0,0,0,0,669,665,4,668,0,0,0,2,2,0,665,59041.70522,42317,23546,0,0,268,1,0,0,0,0,1,0
"41631, Grethel, KY",41631,666,2,2,1,1,659,658,3,663,0,0,0,1,0,2,658,48452.27273,32750,19206,0,0,261,1,1,0,0,0,0,0
"42541, Middleburg, KY",42541,662,1,1,1,0,639,639,7,655,1,1,0,2,0,3,638,59297.7594,53636,23846,1,1,259,2,1,0,0,0,1,0
"41855, Thornton, KY",41855,660,0,0,1,1,655,650,5,655,0,0,0,5,0,0,650,56503.04183,46875,22516,0,0,261,1,0,0,0,0,1,0
"40012, Chaplin, KY",40012,659,1,1,4,5,637,627,16,643,0,0,0,8,0,8,627,51247.13846,43529,20219,0,0,255,4,2,0,0,0,2,0
"42028, Burna, KY",42028,659,1,1,2,2,645,643,4,655,0,0,0,3,1,0,643,52877.20578,36429,22226,0,0,271,1,0,0,0,0,0,0
"41764, Smilax, KY",41764,655,0,0,0,0,648,645,3,652,0,0,0,3,0,0,645,50405.85507,41250,21240,0,0,273,1,0,0,0,0,1,0
"40827, Essie, KY",40827,652,0,0,2,2,648,647,1,651,0,0,0,1,0,0,647,41485.87597,24773,16416,0,0,258,0,0,0,0,0,0,0
"42214, Center, KY",42214,650,0,0,17,16,619,614,9,641,0,0,0,6,1,2,614,47277.0428,33788,18693,0,0,249,2,0,0,0,0,2,0
"41746, Happy, KY",41746,641,1,1,6,6,633,630,3,638,0,0,0,3,0,0,630,41674.27386,28333,15668,0,0,240,1,0,0,0,0,1,0
"40988, Stoney Fork, KY",40988,640,0,0,1,1,636,633,3,637,0,0,0,2,0,1,633,36088.61004,34250,14605,0,0,259,1,0,0,0,0,1,0
"41232, Lowmansville, KY",41232,640,1,1,2,2,634,634,0,640,0,0,0,0,0,0,634,42711.66008,33438,16884,0,0,251,0,0,0,0,0,0,0
"40170, Stephensport, KY",40170,636,0,0,2,2,621,618,5,631,0,0,0,4,0,1,618,52133.33333,53030,19427,0,0,234,1,0,0,0,0,1,0
"40826, Eolia, KY",40826,632,0,0,0,0,622,615,7,625,0,0,0,7,0,0,615,42462.97083,33542,16141,0,0,235,1,0,0,0,0,1,0
"41666, Wayland, KY",41666,632,0,0,0,0,629,626,3,629,0,0,0,3,0,0,626,44096.71212,28333,18420,0,0,262,0,0,0,0,0,0,0
"41754, Krypton, KY",41754,631,0,0,3,4,616,612,7,624,0,0,0,2,0,5,611,77996.94937,47000,29295,0,0,235,1,0,0,0,0,1,0
"40943, Girdler, KY",40943,629,0,0,0,0,619,615,5,624,0,0,0,3,0,2,616,33469.375,27051,12771,0,0,237,1,0,0,0,0,0,0
"41605, Betsy Layne, KY",41605,629,7,7,3,2,607,605,3,626,1,0,0,1,1,0,605,71847.14717,56604,30269,1,1,259,1,0,0,0,0,1,0
"41146, Hitchins, KY",41146,627,1,1,3,3,616,614,2,625,0,0,0,1,0,1,614,53394.5641,42742,19927,1,1,231,0,0,0,0,0,0,0
"41563, Shelby Gap, KY",41563,616,1,1,1,1,606,605,2,614,0,0,0,1,0,1,604,45905.2,36875,18630,0,0,247,1,0,0,0,0,1,0
"40845, Hulen, KY",40845,607,0,0,0,0,602,601,1,606,0,0,0,1,0,0,601,39102.70833,35476,15475,0,0,237,0,0,0,0,0,0,0
"40858, Mozelle, KY",40858,603,0,0,3,3,600,598,2,601,0,0,0,2,0,0,598,38138.17992,25741,15116,0,0,239,1,0,0,0,0,1,0
"41817, Garner, KY",41817,601,1,1,2,2,592,591,1,600,0,0,0,1,0,0,592,52614.29218,40250,21873,0,0,241,0,0,0,0,0,0,0
"41834, Littcarr, KY",41834,600,1,1,3,4,583,579,8,592,0,0,0,2,0,6,579,54603.56574,32843,22842,0,0,247,2,1,0,0,0,1,0
"42764, Mount Sherman, KY",42764,600,1,1,11,10,578,573,8,592,0,0,0,7,0,1,573,51123.15319,42500,20023,0,0,229,2,0,0,0,0,2,0
"40040, Mackville, KY",40040,590,1,1,3,4,574,566,9,581,0,0,0,4,0,5,566,56893.69369,49400,21407,0,0,220,1,0,0,0,0,1,0
"41619, Drift, KY",41619,584,0,0,1,1,577,576,1,583,0,0,0,0,1,0,576,47251.76724,31129,18771,0,0,231,0,0,0,0,0,0,0
"41524, Fedscreek, KY",41524,578,1,1,0,0,575,573,2,576,0,0,0,2,0,0,573,50802.58621,35469,20391,1,1,231,1,0,0,0,0,1,0
"42154, Knob Lick, KY",42154,578,1,1,22,24,542,537,11,567,0,0,0,3,1,7,537,45220.78788,37500,18073,0,0,220,2,1,0,0,0,1,0
"41543, Mc Andrews, KY",41543,576,1,1,6,6,560,559,2,574,0,0,0,2,0,0,559,44996.94323,36304,17889,1,1,223,1,0,0,0,0,1,0
"40178, Westview, KY",40178,574,0,0,2,2,558,558,1,573,0,0,0,1,0,0,558,61778.79253,55634,25955,0,0,233,1,0,0,0,0,1,0
"40854, Loyall, KY",40854,559,3,3,2,2,552,551,2,557,0,0,0,1,0,1,551,51305.89695,32813,24047,0,0,261,1,1,0,0,0,0,0
"41560, Robinson Creek, KY",41560,559,1,1,1,1,555,553,2,557,0,0,0,2,0,0,553,66634.8658,57031,27536,0,0,230,1,0,0,0,0,1,0
"42453, Saint Charles, KY",42453,559,2,2,0,0,548,546,3,556,0,0,0,1,1,1,546,60295.35398,44767,24377,0,0,225,0,0,0,0,0,0,0
"41254, River, KY",41254,556,1,1,1,1,549,546,3,553,0,0,0,3,0,0,546,65283.1,54167,25867,0,0,217,1,0,0,0,0,1,0
"41847, Redfox, KY",41847,552,1,1,48,46,498,498,2,550,0,0,0,2,0,0,497,45737.15929,29318,18726,0,0,210,1,0,0,0,0,1,0
"40070, Sulphur, KY",40070,545,4,4,8,9,513,507,19,526,0,1,0,5,1,12,507,77426.27586,62755,28840,0,0,197,3,2,0,0,0,1,0
"41204, Boons Camp, KY",41204,545,0,0,1,1,539,538,1,544,0,0,0,1,0,0,538,44616.42157,39000,16893,0,0,200,0,0,0,0,0,0,0
"41571, Varney, KY",41571,539,0,0,1,1,534,531,3,536,0,0,0,3,0,0,531,55004.375,40357,22859,0,0,223,1,0,0,0,0,1,0
"41763, Slemp, KY",41763,536,0,0,0,0,534,533,1,535,0,0,0,1,0,0,533,32504.05405,23636,13463,0,0,221,1,0,0,0,0,1,0
"41821, Hallie, KY",41821,534,0,0,1,1,529,529,1,533,0,0,0,1,0,0,529,42454.43946,22778,17729,0,0,221,1,0,0,0,0,1,0
"40145, Hudson, KY",40145,527,1,1,1,1,515,513,2,525,0,0,0,0,2,0,513,43032.29665,41972,17066,0,0,205,1,0,0,0,0,0,0
"40052, New Hope, KY",40052,523,1,1,3,3,512,507,5,518,0,0,0,4,0,1,507,70183.98936,48421,25655,0,0,186,1,0,0,0,0,1,0
"41622, Eastern, KY",41622,522,0,0,1,1,519,517,2,520,0,0,0,1,1,0,517,66188.18537,52885,25993,0,0,204,0,0,0,0,0,0,0
"42354, Mc Henry, KY",42354,506,1,2,0,0,496,490,7,499,0,0,0,3,1,3,490,56918.81081,46379,20810,0,0,184,0,0,0,0,0,0,0
"41616, David, KY",41616,502,1,1,0,0,501,499,2,500,0,0,0,2,0,0,499,43406.61224,30333,16948,0,0,196,0,0,0,0,0,0,0
"40171, Union Star, KY",40171,501,0,0,0,0,490,485,5,496,0,0,0,4,0,1,485,50783.24176,52551,18448,0,0,180,1,0,0,0,0,1,0
"42516, Bethelridge, KY",42516,499,1,1,2,2,489,484,6,493,0,0,0,5,0,1,484,47646.64948,42500,18611,0,0,191,1,0,0,0,0,1,0
"42371, Rumsey, KY",42371,495,0,0,2,2,488,485,3,492,0,0,0,2,0,1,485,56280.82464,47931,23990,0,0,209,1,0,0,0,0,1,0
"40209, Louisville, KY",40209,494,12,12,48,47,410,402,17,477,1,0,0,8,4,4,402,49339.95327,43571,21701,4,4,186,7,1,0,0,0,4,2
"40870, Totz, KY",40870,493,2,2,1,1,486,482,5,488,0,0,0,4,0,1,482,58547.14286,48302,24939,1,1,207,1,0,0,0,0,1,0
"41566, Steele, KY",41566,487,1,1,0,0,486,484,2,485,0,0,0,2,0,0,484,51259.07216,35600,20419,1,1,193,1,0,0,0,0,0,0
"41263, Tutor Key, KY",41263,483,1,1,3,3,476,473,3,480,0,0,0,3,0,0,473,54979.14439,46613,21798,0,0,187,1,0,0,0,0,1,0
"41766, Thousandsticks, KY",41766,474,0,0,1,1,470,466,4,470,0,0,0,4,0,0,466,46873.35025,34286,19625,0,0,196,1,0,0,0,0,1,0
"40913, Beverly, KY",40913,473,0,0,1,1,469,466,5,468,0,0,0,3,0,2,466,29517.02703,22188,12124,0,0,183,1,0,0,0,0,1,0
"40865, Putney, KY",40865,471,2,2,1,1,461,461,2,469,0,0,0,0,0,2,461,54843.44149,39000,21919,0,0,185,1,1,0,0,0,0,0
"41132, Denton, KY",41132,471,2,2,1,1,459,456,4,467,0,0,0,2,0,2,456,55992.50847,43750,21042,1,1,173,1,1,0,0,0,0,0
"42035, Cunningham, KY",42035,470,3,4,5,7,449,442,10,460,0,0,0,3,2,5,442,81813.85,81818,31566,1,1,177,2,1,0,0,0,1,0
"40077, Westport, KY",40077,465,3,2,8,9,435,431,14,451,0,1,1,3,1,8,431,80869.54286,71622,30435,1,1,168,4,2,0,0,1,1,0
"41663, Tram, KY",41663,461,0,0,5,5,450,450,1,460,0,0,0,1,0,0,450,67889.23164,54545,26066,0,0,171,0,0,0,0,0,0,0
"41135, Emerson, KY",41135,459,0,0,4,4,450,447,3,456,1,0,0,2,0,0,447,63061.08108,53448,25417,0,0,182,1,0,0,0,0,0,0
"41604, Beaver, KY",41604,451,0,0,0,0,448,446,2,449,0,0,0,2,0,0,447,34615.05618,22179,13662,0,0,178,1,0,0,0,0,1,0
"41547, Majestic, KY",41547,446,0,0,2,2,437,435,3,443,0,0,0,2,1,0,435,42725.75543,32917,17627,0,0,182,1,0,0,0,0,0,0
"41669, Wheelwright, KY",41669,445,0,0,11,11,432,431,1,444,0,0,0,1,0,0,431,41644.66292,30600,17074,0,0,172,0,0,0,0,0,0,0
"40819, Coldiron, KY",40819,444,0,0,1,1,438,437,1,443,0,0,0,1,0,0,437,49205.83333,38261,19948,0,0,178,0,0,0,0,0,0,0
"41540, Lick Creek, KY",41540,444,0,0,2,2,441,440,2,442,0,0,0,1,0,1,440,50789.94709,49318,21620,0,0,189,1,0,0,0,0,0,0
"41751, Jeff, KY",41751,444,0,0,1,1,437,436,3,441,0,0,0,1,1,1,436,62646.22093,52273,24268,0,0,171,0,0,0,0,0,0,0
"41759, Sassafras, KY",41759,444,0,0,20,21,417,415,3,441,0,0,0,1,1,1,415,46501.42857,28571,18328,0,0,167,1,0,0,0,0,0,0
"42762, Millwood, KY",42762,444,0,0,3,4,435,428,9,435,0,0,0,6,1,2,428,50488.36628,37727,19559,0,0,171,2,0,0,0,0,2,0
"41268, West Van Lear, KY",41268,443,0,0,0,0,440,439,1,442,0,0,0,1,0,0,439,49121.22093,42500,19323,0,0,170,0,0,0,0,0,0,0
"42321, Beech Creek, KY",42321,442,1,1,13,14,423,420,4,438,0,0,0,2,1,1,420,61592.40351,39375,23829,0,0,164,1,0,0,0,0,1,0
"41659, Stanville, KY",41659,438,4,4,1,1,426,424,3,435,0,0,0,2,0,1,424,61648.72283,49000,25898,1,1,181,0,0,0,0,0,0,0
"40983, Sextons Creek, KY",40983,434,0,0,1,1,431,430,2,432,0,0,0,2,0,0,430,40046.82716,23696,16469,0,0,160,1,0,0,0,0,1,0
"41234, Meally, KY",41234,434,5,5,0,0,426,424,3,431,0,0,0,2,0,1,424,79704.48276,46000,33822,1,1,172,2,1,0,0,0,1,0
"42631, Marshes Siding, KY",42631,434,0,0,0,0,425,423,4,430,0,0,0,2,2,0,424,49143.29268,41207,18570,0,0,162,1,0,0,0,0,0,0
"41159, Martha, KY",41159,430,0,0,0,0,429,428,1,429,0,0,0,1,0,0,428,35614.45087,30556,14329,0,0,173,1,0,0,0,0,1,0
"40949, Heidrick, KY",40949,426,1,1,7,7,412,412,1,425,0,0,0,0,0,1,412,45868.27586,23947,18735,0,0,171,0,0,0,0,0,0,0
"41606, Bevinsville, KY",41606,420,0,0,3,3,415,414,1,419,0,0,0,1,0,0,414,41947.44318,31897,17578,0,0,173,0,0,0,0,0,0,0
"41621, Dwale, KY",41621,419,2,2,21,22,391,388,6,413,0,0,0,2,1,3,388,30845.88608,22917,12548,1,1,156,1,0,0,0,0,1,0
"41535, Huddy, KY",41535,418,0,0,5,5,408,407,1,417,0,0,0,1,0,0,407,41342.15116,36579,17012,0,0,169,0,0,0,0,0,0,0
"41607, Blue River, KY",41607,416,1,1,0,0,414,413,1,415,0,0,0,1,0,0,413,42799.08537,30652,16873,0,0,164,0,0,0,0,0,0,0
"42273, Rochester, KY",42273,415,1,1,0,0,409,405,5,410,0,1,0,3,0,1,405,62707.09412,46786,25687,0,0,169,1,0,0,0,0,1,0
"40939, Fourmile, KY",40939,413,0,0,3,3,407,406,1,412,0,0,0,1,0,0,406,51775.65882,34444,21312,0,0,167,0,0,0,0,0,0,0
"40481, Sandgap, KY",40481,411,1,1,0,0,404,400,5,406,0,0,0,4,1,0,400,52517.13772,37609,21339,0,0,166,2,0,0,0,0,2,0
"41317, Clayhole, KY",41317,407,0,0,1,1,402,402,1,406,0,0,0,0,0,1,402,40047.82609,27000,16191,0,0,161,0,0,0,0,0,0,0
"42361, Olaton, KY",42361,405,1,1,0,0,399,395,6,399,0,0,0,5,0,1,395,59321.9871,46250,22703,0,0,153,1,0,0,0,0,1,0
"41713, Avawam, KY",41713,403,7,6,3,3,385,385,5,398,0,0,0,2,1,2,385,55493.42958,32826,24342,3,3,137,1,0,0,0,0,0,0
"41464, Royalton, KY",41464,401,1,1,0,0,393,391,2,399,0,0,0,1,1,0,391,34328.4,19231,14125,0,0,161,1,0,0,0,0,0,1
"41365, Rogers, KY",41365,399,0,0,0,0,396,395,3,396,0,0,0,2,0,1,395,43476.06061,31500,17979,0,0,165,0,0,0,0,0,0,0
"41845, Premium, KY",41845,395,0,0,0,0,393,393,0,395,0,0,0,0,0,0,393,40174.85714,26739,17799,0,0,175,0,0,0,0,0,0,0
"41534, Hellier, KY",41534,393,0,0,1,1,385,383,2,391,0,1,0,1,0,0,383,54668.24324,43889,20588,0,0,147,0,0,0,0,0,0,0
"42638, Revelo, KY",42638,390,0,0,0,0,382,381,3,387,0,0,0,2,1,0,381,49056.75676,41346,18616,0,0,146,1,0,0,0,0,0,0
"41632, Gunlock, KY",41632,388,1,1,0,0,380,378,2,386,0,0,0,1,1,0,378,34290.875,19167,14141,0,0,156,1,0,0,0,0,0,1
